Page #,Question #,Question Text,Answer
54,12,Where was Rin Tin Tin set,Fort Apache - Arizona
54,14,The Merryman and his Maid alt title what G&S operetta,The Yeomen of the Guard
54,24,Captain Jean Luc-Picard keep a fish called what,Livingston
54,25,In I love Lucy what was Lucy Ricardo's maiden name,McGillicuddy
54,27,What were Cinderella's slippers originally made from,Fur - changes to glass in 1600s
54,36,Michael Dumble-Smith became famous as who,Michael Crawford
54,38,Turnov Rusty and Bobo appear in what stage musical,Starlight Express
55,52,Who wrote the Dune series of SF novels,Frank Herbert
55,56,David Cook became famous as who,David Essex
55,63,Who is the Patron Saint of TV,St Clare
55,66,Who rode Rocinante,Don Quixote
55,76,Thomas Harris created what character,Hannibal Lector
55,77,George Hoy-Booth became famous as who,George Formby
55,82,Mildrid Harris Lita Grey Paulette Goddard Oona O Neil - Link,Charlie Chaplains wives
55,83,What was first work of fiction blessed by the Pope,Ben Hur – Lew Wallace
55,84,What Hollywood actress was the Laurence Olivier of Orgasms,Hedy Lamarr
55,92,The King of Barataria alternative name what G&S operetta,The Gondoliers
55,95,John Simon Richie became famous as who,Sid Vicious
56,2,Who owned Rin Tin Tin in the series,Rusty
56,4,What was the name of the horse in Animal Farm,Boxer
56,9,What film star was born in Sakhalin Siberia,Yul Bryner
56,14,In The Beverly Hillbillies what was the name of Ellie's Chimp,Cousin Bessie
56,15,Name the book - first line - It was a pleasure to burn,Fahrenheit 451 Ray Bradbury
56,25,Where was Keanu Reeves born,Beirut - Lebanon
56,26,Whose original name was Jasper,Tom - From Tom and Jerry
56,31,Hitchcock film he did not appear Lifeboat 1944 who female star,Tallulah Bankhead
56,43,In Bonanza Hoss Cartwright was afraid of what,The Dark
56,44,What links Hof Malomo Zagreb Belgrade Porto Varna Vevey,International film festivals
56,45,Natasha Gurdin became famous as who,Natilie Wood
57,52,What famous person was born in Ahmaddnagar India,Spike Milligan
57,55,What book starts with the words - Call me Ishmael,Moby Dick
57,68,In the Flintstones what was Betty Rubbles maiden name,Betty Jean McBricker
57,70,What film won the best picture Oscar in 1967,In the heat of the night
57,72,Something Happened 74 Picture This 88 Closing Time 94 author,Joseph Heller
57,73,James Leblanche Stewart became famous under what name,Stewart Granger
57,78,Rosetta Jacobs became famous under what name,Piper Laurie
57,82,Susan Abigail Tomalin became famous as who,Susan Saradon
57,88,In Bonanza what was Hoss Cartwright's characters first name,Eric
57,92,Book It was a bright cold day in April and clocks were striking 13,1984 George Orwell
58,9,What author was born in Petrovichi USSR in 1920,Isaac Asimov
58,10,In 1964 Jett Bock composed the music for what hit show,Fiddler on the Roof
58,16,Bamboo harvester was the real name of what TV character,Mr Ed
58,23,In Disney's Fantasia what is the Sorcerers name,Yensid – Disney reversed
58,33,Who once had a job as a coffin polisher,Sean Connery
59,59,What was the name of the Monkeys only film made in 1969,Head
59,61,what musical play - find a character called Magnolia Hawks,Showboat
59,64,Who was Humphry Bogart's first wife,Helen Mencken
59,69,What was James Bonds fathers name,Andrew
59,70,ET drank which brand of beer,Coors
59,77,Who live in Frostbite falls Minnesota,Rocky and Bullwinkle
59,79,Who was the star of The Sixth Sense,Bruce Willis
59,82,Ben Veeren played what character in Arthur Hailey's roots,Chicken George
59,85,What was the first film Paul Newman directed,Rachel Rachel
59,87,Who is The Incredible Hulks girlfriend,Betty Ross
59,89,Who appeared for the first time in Beetons Christmas Annual,Sherlock Holmes
59,94,In James Bonds books what was Dr No's first name,Julius
60,4,What is Top Kanal in Poland,Commercial TV station
60,6,Breakfast at Tiffanies - famous film - who wrote the book,Truman Capote
60,7,Cecil B De Mille the film director had what middle name,Blount
60,19,Galt MacDermot wrote what 1967 musical stage show,Hair
60,24,Who would use a claque,Actor - Paid audience clappers
60,33,What was banned in US movie theatres in the 1920s,Popcorn - too noisy
60,37,What was Robin Williams paid for Disney's Aladdin in 1982,Scale $485 day + Picasso Painting
61,56,What was the first film to use stereophonic sound,Disney's Fantasia
61,58,in 1995 13 books every minute sold in US were on what subject,Star Trek
61,65,What links Bob Hope John Huston Ryon O'Neil Bo Diddley,Boxers early in life
61,79,Name the pet alligator in Miami Vice,Elvis
61,99,Who wrote Of Human Bondage and The Moon and Sixpence,Somerset Maugham
62,15,Rosencrantz and Guilderstern are dead - name playwright,Tom Stoppard
62,16,Lucy Johnson became famous under what name,Ava Gardner
62,19,Denzil Washington's first film as director was what,Finding Fish
62,26,Who created Woody Woodpecker,Walter Lantz
62,28,Who was born in Chicago 5th December 1901 died 1966,Walt Disney
62,36,Rhodopsis original Egyptian Cinderella had what job,Prostitute - bird stole her shoe
62,43,What was the first million dollar seller paperback,I the Jury – Mickey Spillane
62,49,What job does Charlie Browns father do,Barber
63,57,What was the first 30 minute animated Disney show,Duck Tales
63,62,Bowling for lizards was whose favourite TV program,Fred Flintstone
63,70,Who was the Angel in Milton's Paradise Lost,Beelzebub
63,74,"Who ""Loved not to wisely but too well"" Shakespeare play",Othello
63,75,"What did Anna Sage ""The lady in Red do""",Betray John Dillinger
63,78,Holden Caulfield - Catcher in the Rye - where JD Sal get name,Movie marquee W Holden J Caulfield
63,86,What author was the first published by Bantam paperbacks,Mark Twain Life on the Mississippi
63,91,Who started Laugh O Gram productions,Walt Disney
64,9,What was the last sequel to win best picture award,Silence of the Lambs to Manhunter
64,27,Hitihita is a character in what book and film,Mutiny on the Bounty - Tahiti chief
64,31,What character on TV and film must have sex every 7 years,Mr Spock
64,33,Bugs Bunny was a caricature of what actor,Clark Gable
64,43,Disney's Sleeping Beauty what is the name of the Queen witch,Maleficent
65,52,Babs Gorden is better know as what heroine,Batgirl
65,54,First Impressions was the original title of what classic novel,Pride and Prejudice
65,58,"John Wayne called what film ""The most un-American thing ever""",High Noon
65,62,What is Jane Fonda's middle name,Seymour
65,66,David John Moore Cornwell became famous as who,John Le Carre
65,67,In The Hobbit what colour is Bilbo's door,Green
65,69,Where was Holmes pal Dr Watson wounded during the war,Shoulder
65,74,"Who said ""Bigamy is one husband too many like Monogamy""",Erica Jong - Fear of Flying 1973
65,75,What colour were ETs eyes,Blue
65,78,In the original Wizard of Oz what colour were the slippers,Silver
65,79,The Beverley Hillbillies came from what Ozarks town,Hooterville
65,86,What was James Deans middle name,Byron
65,88,In Romeo and Juliet what day is Juliet's Birthday,31st June
65,89,George C Scott - what does the C stand for,Campbell
65,93,Gwizador in Poland is who in English,Santa Claus
66,24,Dick Tracy the comic strip started life as what name,Plainclothes Tracy
66,31,The Egg and I was whose first film,Marilyn Munroe
66,33,Who first appeared in All Star Comics in 1941,Wonder Woman
66,36,What colour was Ian Flemming's typewriter,Gold
66,40,Which comic character was dynamited to death in issue 428,Robin
66,43,In what George Bizet opera do Zugra and Nbadir appear,The Pearl Fishers
66,45,Martin Fallon Hugh Marlow James Graham Harry Patterson who,Jack Higgins
66,46,Who created Popeye,Elzie Seger
66,47,The film The Madness of King George III Dropped III - why,So Americans don’t think it’s a sequel
66,48,Who had the part of Dirty Harry - hurt hand - dropped out,Frank Sinatra
67,67,What was Woody Allen's first film as writer/actor,What's New Pussycat
67,76,In what Shakespeare play does the character Caliban appear,The Tempest
67,79,Frank Gorshin played what role in a 60s series films,The Riddler
67,80,Which Puccini opera featured Nessun Dorma,Turendot
68,2,What was Spencer Tracy's last film,Guess whose coming
68,7,What ship was blown up at the end of The African Queen,The Louisa
68,16,Who should have played Indiana Jones and dropped out,Tom Selleck
68,24,What series was voted the best fiction of the 20th century,Lord of the Rings
68,29,Who fired the first shots in the 1970 film MASH,The Football game
68,31,Beveley Hills Cop was Eddie Murphy but who was it intended for,Sylvester Stallone
68,39,Leonato is the main character in what Shakespeare play,Much ado about
68,40,Who wrote the book Forest Gump,Winston Groom
68,46,Who was the male star when The Mousetrap first played,Richard 
68,47,Who was the first actress to endorse a product commercially,Lilly Langtree
68,49,Who wrote the opera Zaide,Mozart
69,58,Who would use a barny to reduce noise,Film Cameraman cosy over cam
69,59,In AFTs top 100 movies only 2 sequels - Godfather and what,French Connection II
69,64,What was David Leans first film,Oliver Twist
69,67,In what film did Tommy Lee Jones make his debut,Love Story - As Hank
69,70,Julian Dick George Anne and who make the famous five,Timmy the Dog
69,71,Who was The Little Playful One,Pocahontas
69,75,Bridge River Kwai - Bridges Toki Rio - what actor links films,William Holden
69,78,In the Little Mermaid fairy tale what happens to her,She Dies
69,79,Why was Clark Kent rejected military service during WW2,Failed eye test
69,80,Who wrote the title song for Live and let Die,Paul McCartney
69,83,Who was the first woman to win an Oscar best actress 1928,Janet Gaynor
69,92,Who is the adopted son of Vito Corleone,Tom Hagan
69,95,Who is Dumbella,Donald Ducks sister
70,6,Lucille Langhanke born 1906 won an Oscar as who in 1941,Mary Astor
70,7,Harrison Ford played CIA agent Jack Ryan - who else has,Alec Baldwin
70,8,The song I know him so well comes from what stage musical,Chess
70,9,Lewis Ernest Watts became famous under what name,John Mills
70,14,Name the author who created Brer Rabbit and Brer Fox,Joel Chandler Harris
70,20,Name first animated film to be nominated for best picture Oscar,Disney Beauty and the Beast
70,33,What was Super Mario's original name,Jumperman
71,53,Harvey Lee Yeary II became famous under what name,Lee Majors
71,57,In The Lion the Witch and the Wardrobe whets the Lions name,Assan
71,60,Who sang the theme song for Rawhide,Frankie Lane
71,74,What was the name of Felix the Cats girlfriend,Phyllis
71,76,Jerome Siberman became famous as who,Gene Wilder
71,80,What job Michael Cane Uma Thurman Sidney Poitier common,Dish washers
71,81,Who sang for Lauren Bacall in To Have and Have Not,Andy Williams
71,83,Magnum PI wore a baseball cap supporting what team,Detroit Tigers
71,89,Chuck Berry Art Garfunkle Robert Redford had what job,Carpenters
71,90,In The Muppet Movie who sang for Miss Piggy,Johnny Mathis
71,95,Demetria Gene Guynes became famous as who,Demi Moore
71,96,What colour was Tweety Bird originally,Pink
72,5,Who won the first Oscar for a musical in 1943,James Cagney
72,6,In The film Reservoir Dogs what song was discussed at the start,Like a Virgin –
72,19,What colour was Mrs Bates dress in Psycho,Periwinkle Blue
72,21,Terry Bollea became famous under what name,Hulk Hogan
72,29,What was Alfred Hitchcock's first sound film,Blackmail
72,34,What was Maxwell Smarts cover,Greetings Card
72,36,PD James wrote thrillers what does PD stand for,Phyllis Dorothy
72,38,In the Beverley Hillbillies what was a potpasser,Pool Cue at fancy
72,39,Jack Haley played the Tin Man what was the Tin Mans name,Hickory Twicker
72,40,Disney question - who are Daisy Ducks three nieces,April May June
72,49,What was the name of the saloon in Gunsmoke,Longbranch
73,52,Who wrote Heart of Darkness,Joseph Conrad
73,53,In the movie what is Shafts first name,John
73,58,Topolino in Italy is who here,Mickey Mouse
73,61,In Shakespeare's Hamlet what herb is said to be for remembrance,Rosemary
73,64,Julius Caesar Hamlet Macbeth Richard III links not Obvious,All plays contain
73,67,What was the first film given the title Blockbuster,Jaws
73,88,According to Homer Simpson what is a feline,An Elephant
73,92,Who played Sarah Conner in 1984s Terminator,Linda Hamilton
73,100,E W Hornung created which fictional character,Raffles
74,1,In Baltimore it is illegal to take what to the movies,A Lion
74,4,Who is Homer Simpson's brother,Herb Powell
74,14,On the TV show Frazier what was the dads dogs name,Eddie
74,16,Sylvester and Tweety Pie - Cat Bird started out as what,Clown and Baby
74,18,What is Dennis the Menace's last name,Mitchell
74,27,Who received 800000 fan letters in 1933,Mickey Mouse
74,33,What is the name of Fred Flintstones paperboy,Arnold
74,37,What was the name of the skunk in Bambi,Flower
74,48,Who lived at 1431 North Beachwood,The Monkeys
75,52,In The Simpson's what was the name of the Barbie type doll,Malibu Stacey
75,67,John Benyon Harris became famous as what S F writer,John Wyndham
75,88,Who is Woodie Woodpeckers girlfriend,Winnie Woodpecker
75,91,What are Zap Spirit Crazylegs and Chuckles,G I Joe figures
76,1,Who is Yogi Bears girlfriend,Cindy Bear
76,5,Who drives a car licensed 6YZ643,Fred Flintstone
76,9,In the Winnie the Pooh books what name is over Poohs door,Mr Sanders
76,10,What is the name of Superman's Supercat,Streaky
76,14,Who is Dick Tracey's girlfriend,Tess Trueheart
76,21,Who was Barbara Streisands first husband,Elliot Gould
76,22,What is the name of Porky Pigs father,Phineas Pig
76,23,Nathan Burnbaum became famous under what name,George Burns
76,29,Who was Dr Zhivago’s love,Lara
76,34,What was the only remake to win the best picture Oscar,Ben Hur
76,35,Soylent Green the band took name from film and book by who,Harry Harrison
76,37,Colonel Tom Parker Elvis's manager had what earlier act,"Dancing Chickens –
on hot plate"
76,42,Lorne Green has only one what (an alligator ate the other),Nipple
76,46,Who refused the leading male role in Gone With the Wind,Gary Cooper
77,54,Who is Olive Oyls brother,Castor Oyl
77,61,What was the first TV show in colour,The Cisco Kid
77,77,Strontium 90 was the original name of which band,The Police
77,80,Whose last published novel was Murder from the Past,Agatha Christie
77,83,Who declined a Pulitzer Prize for his book Arrowsmith,Sinclair Lewis
77,89,Graham Kerr became famous under what nickname,Galloping Gourmet
77,90,What was the name of the last silent movie made 1929,The Four Feathers
77,97,Who was the first male to appear on the cover of playboy,Peter Sellers
78,13,"Who said ""Iv'e never had an accident worth talking about""",Captain E J Smith of the Titanic
78,14,What is Joeys favourite food in Friends,Sandwiches
78,27,Brave New World - Aldus Huxley - where name from,Shakespeare's The Tempest
78,32,Who live at 742 Evergreen Terrace,The Simpson's
79,80,Ill Never Forget Whatshisname 1968 film first said fuck – who,Marianne Faithful
79,89,On Scooby Doo what was Shaggys real name,Norville
79,90,Who failed his music class at school,Elvis Presley
80,25,In Franz Kafkas Metamorphosis Gregor Samsa wakes up as?,An Insect
80,26,Danny Zuko was a main character in what film,Grease
80,29,What links Jerry Garcia Buster Keaton Boris Yeltsin,Missing a bit of finger
80,34,What do Al Gore and Tommy Lee Jones have in common,At Harvard Together
80,40,"What movie had the line ""We're on a mission from God""",The Blues Brothers
80,43,What is Linus last name in the Peanuts cartoons,Van Pelt
80,44,In what movie did Whoopee Goldberg make her debut,The Colour Purple
80,45,Who turned down the Bogart role in Casablanca,Ronald Reagan
81,58,Who wrote One flew over the Cuckoos Nest,Ken Kesey
81,62,At the end of TVs MASH what character stayed in Korea,Corp Maxwell Klinger
81,63,April 20 1896 was the first time people paid to do what,See a movie in NY
81,76,What is the name of the Flintstones cat,Baby-Puss
81,80,Egg Fu is the enemy of what super hero,Wonder Woman
81,90,Harold Sakata was badly burned playing what character,Odd Job in Goldfinger
81,91,In the Flintstones in what county is Bedrock,Cobblestone County
81,92,Ariztid Olt was what early name used by a famed actor,Bela Lugosi
82,5,Chachi was a character in Happy days whats it mean in Korean,Penis
82,6,Frank Sinatra John Wayne Paul Newman rejected what role,Dirty Harry Callahan
82,13,Here comes the judge is from what TV show,"Rowan and Martins
Laugh In"
82,16,Apart from Star Trek Kirk Scott Spock Sulu (actors) what prog,The Twilight Zone
82,23,Zorro the heroes name means what in Spanish,The Fox
82,32,What science ficton author wrote about The Cities in Flight series,James Blish
82,33,What literary character was born on September 22 1290,Hobbit Bilbo Baggins
82,34,Patsy Mclenny became famous as who,Morgan Fairchild
82,40,What TV program first used the word hell,"Star Trek lets get the
hell outa here"
82,48,What make and model of car was Christine in the book and film,Plymouth Fury
83,54,Catch 22 had what original name - publisher changed it,Catch 18
83,59,What book was given to all officers in the Confederate army,Les Miserables
83,62,Who was the voice of Scooby Doo,Mickey Dolenz
83,65,Joan Peters became famous as who,Carol Lombard
83,68,Wimpy was the working title of what classic movie,Psycho
83,73,What magazine has the largest unpaid circulation in the US,Disney Channel Magazine
83,74,More than 100 women make a living from impersonating who,Marilyn Monroe
83,97,Mary Leta Dorothy Slaton became famous as who,Dorothy Lamour
84,1,What is Daffy Ducks middle name,Dumas
84,2,In downtown Lima Peru there is a brass statue of who,Winnie the Pooh
84,9,Who rejected the role of Riddler in Batman Forever,Robin Williams
84,26,Volney was in hundreds of films where can you see him,MGM films he was the lion
84,30,O'Shey Jackson became better known as who,Ice Cube
84,35,JRR Tolkein wrote The Lord of the Rings what the JRR stand for,John Robert Reuel
84,38,What was the first video played on MTV Europe,Money for Nothing – Dire Straits
84,39,Thurl Ravenscroft is the voice of who,Tony the Tiger
84,41,In film making what is a martini shot,Last of day before pub
84,50,Who was supposed to play Betelgeuse in the movie,Sammy Davis Junior
85,57,Cagney shoves grapefruit Mae Clarke face was going to be what,An Omelette
85,62,Rosalind Julia Portia Viola Cymbeline what links not obvious,Heroines dress as men
85,64,J Worthington Foulfeather was the name of what Disney character,The Fox in Pinocchio
85,65,What was the only film about Vietnam made during the war,The Green Berets
85,73,What are the names of the two cats in Disney's Lady + Tramp,Si and Am
85,75,Whose legs were banned from metro posters too distracting,Marlene Dietrich
85,87,What is Fonzies full name on Happy Days,Arthur Herbert Fonzerelli
85,88,Jacque Cousteau's ship Calypso used to be what before he got it,Minesweeper
85,89,What books original title was Murder in the Calais Coach,Murder on the Orient Express
85,90,What in reality was Dr McCoy's medical scanner in Star Trek,A Salt Shaker
85,93,Name first monochrome film converted electronically to colour,Yankee Doodle Dandy
85,95,What was the name of the baby in Three Men and a Baby,Mary
85,97,In what movie did Richard Drefus make his one line debut,The Graduate
86,11,What tough guy actor has a real first name of Walter,Bruce Willis
86,24,Half the worlds population has seen at least one what,James Bond Film
86,33,99% of American households have at least one what,TV
86,36,70% people would stamp barefoot broken glass that watch what,Riverdance for 24 hours
86,47,Stephanie Powers was Girl from UNCLE characters name,April Dancer
87,53,William Moulton Marston Lie Detector and what comic character,Wonderwoman
87,54,On the Munsters what was Lillie's maiden name,Lilly Dracula
87,57,What links George Patton Jayne Mansfield Margaret Mitchell,Died in car crashes
87,62,Who appeared on the first cover of TV guide 3 April 1953,Desi Arnaz Jr
87,64,The Rambunctious and Clever Ones what films name in Taiwan,Wayne's World
87,69,What is the name of Data's cat in Star Trek Next Generation,Spot
87,76,What links Cary Grant Mohammed Ali Prince Charles,All amateur Magicians
87,78,What is Indiana Jones first name,Henry
87,84,The Merry Go Round is Broken Down - whose melody is that,Looney Tunes
87,86,Paramount Pictures logo has 22 what,Stars
87,89,Who is known as Tuhkimo in Finland,Cinderella
87,91,Who was the first Marvel Comics superhero,Human Torch
87,93,What was the first video played on MTV,Video killed the Radio Star
88,4,In Arthur C Clarks Childhoods end the aliens look like what,Devils
88,11,Who made his screen debut in Mad Dog Col 1961 as a cop,Gene Hackman
88,14,who told the evil king Schahriah stories,Sheherazade
88,24,Joan Sandra Molinsky became famous as who,Joan Rivers
88,26,Who wrote the book - Call of the Wild,Jack London
88,28,"Who was nicknamed ""Queen of the Swashbucklers""",Maureen O' Hara
88,31,Who directed the movie Wall Street 1987,Oliver Stone
88,36,In Red Dwarf what did the H stand for on Rimmers head,Hologram
88,39,Janette MacDonald was nicknamed the Iron what,Butterfly
88,40,Where is the Star Fleet Academy located,San Francisco
88,48,In what literary work would you find the yahoos,Gulliver's Travels
89,52,Jane Peters became famous as who - ( Clark Gables wife ),Carol Lombard
89,64,Orbis non Sufficit - World is not enough - whose family motto,James Bond
89,69,What links Yul Bryner Burt Lancaster WC Fields Joe E Brown,Circus Performers
89,70,Outfit/costume first seen 1914 film Kid Auto Races at Venice,Chaplin's Tramp outfit
89,72,Who was found dead in Hollywood's Landmark Hotel 4 Oct 1970,Janis Joplin
89,79,Who first appeared in the film A Tale of two Kitties in 1942,Tweety Pie
89,81,What links Steve McQueen Ian Botham Spike Milligan,All called Terence
89,88,What was the first film musical based on a Shakespeare play,The boys from Syracuse C of Error
89,92,Name the first British actress to appear on a British stamp 1985,Vivien Leigh
89,93,Patricia Holm is the girlfriend of what famous fictional character,Simon Templar The Saint
89,94,Comic strip character 1920s name means meek person in USA,Casper Milquetoast
89,95,Sylvester Stallone film shares name with Paris art movement,Cobra
89,96,What fictitious murderer first appeared in String of Pearls 1840s,Sweeny Todd
89,97,In what film were Aldeberan Antares Atair Rigel seen,Ben Hur - horses on his chariot
90,3,Name the first Alsatian dog film star 1921,Strongheart - Rin Tin Tin 1922
90,4,In what play do we follow Aaron a Moor beloved of Tamora,Titus Andronicus
90,8,Name the aboriginal detective in the novels of Arthur W Upfield,Napoleon Bonaparte
90,9,Who was the first British SF author to win a Hugo award,Eric Frank Russell Allamagoosa
90,16,In what Agatha Christi book does Poriot Die,Curtain
90,22,What was the name of Sancho Panza's donkey,Dapple
90,23,Who spent 18 months in 1940s as no 3188 home wayward boys,Steve McQueen
90,26,Where could you hear the Cuckoo Song,Laurel Hardy film theme song
90,29,Harold Leek became famous as who,Howard Keel
90,31,In 1954 George Cowling was the first British TV what,Weatherman
90,34,What TV series had a signature tune called Liberty Bell,Monty Pythons Flying Circus
90,39,what are Wa Cha Wej Vagh Hut Soch and chorgh,Numbers - In Klingon
90,41,In Nicholas Nickleby name the headmaster of Dotheboys Hall,Wackford Squeers
91,51,Who started his film career as Anglo Saxton type 2008 in 1930s,David Niven
91,54,Who created the character Walter Mitty,James Thurber
91,55,What Wimbledon single champ had a part in a John Wayne film,Anthea Gibson Lukey Horse Soldiers
91,62,In what film did Sean Connery sing Pretty Irish Girl,Darby O Gill and the Little People
91,66,In the novel Goldfinger name the boss of The Cement Mixers,Pussy Galore
91,68,What Shakespeare play is set in Massina and has Claudio in it,Much ado about Nothing
91,69,Who could win a PATSY,Picture Animal Top Star of Year
91,74,Who starred in 1950s Circus Boy then moved on to pop music,Mickey Dolenz
91,80,"What fictional character was ""The Napoleon of Crime""",Professor Moriaty
91,91,Who wrote the novel Invisible Man in 1952,Ralph Waldo Emerson
91,95,Lili Hayden played a character (not seen) in a spin off from what,Colombo (Mrs)
91,96,David Harold Mayer became famous as who,David Janssen
91,97,Gregory Peck played Lt Joe Clements in what 1950s film,Pork Chop Hill
91,98,The Chronic Argonauts was the original title of what SF book,The Time Machine
92,6,Who won Oscars for Jaws ET Star Wars Schindlers List,John Williams (music)
92,8,Shakespeare play set in Ephesus has two pairs identical twins,Comedy of Errors
92,12,Who appeared as the infant Moses 1956 film 10 commandments,Frazer Heston – Charlton's son
92,17,Elmo Lincoln was the screens first what 1918,Tarzan
92,19,Gus Wickie Pinto Colvig William Pennell Jackson Beck - Link Bluto in,Popeye
92,21,What masked hero first appeared 1919 The Curse of Capistrano,Zorro
92,26,In The Italian Job Noel Coward played what character in prison,Mr Bridger
92,27,Where is John Frost bridge shown on A Bridge too Far,Arnham - it was renamed after him
92,30,In South Dakota its illegal to show movies that picture what,Police getting beaten
92,32,Michael Henchard better known as what eponymous literary hero,The Mayor of Castorbridge T Hardy
92,34,What was the name of Roy Rogers dog (now stuffed),Bullet
92,37,In what 1998 did film David Bowie play Pontius Pilot,Last Temptation of Christ
92,41,What is the name of the Australian Film Institute Award,Longford – (Raymond)
92,44,The first cartoon character on the Beano was Eggo what was he,Ostrich
92,50,Andrew John Woodhouse in fiction was who - Ira Levin novel,Rosemary's Baby
93,51,Steve McQueen played Hiltz Great Escape what's first name,Virgil
93,56,Luke Halpin Sandy Tommy Norden Bud what 1960s TV show,Flipper
93,57,Who wrote The Caine Mutiny,Herman Wouk
93,60,Albert Harry Jack and Samuel Eichelbaum known as who,Warner Brothers
93,66,Real names Susan Alexandria Stage name from Great Gatsby,Sigourney Weaver
93,74,Fatty Arbuckle was the first filmed recipient of what in 1913,Custard Pie
93,76,What was Supergirl's secret identity,Linda Lee Danvers
93,78,Who danced with Gene Kelly in Anchors Aweigh in 1945,Jerry Mouse
93,84,"The French call it ""La Train Sifflera Trois Fois"" what film is it",High Noon
93,88,Francis Octavia Smith rode Buttercup in 1950s TV who was she,Dale Evans Mrs Roy Rogers
93,89,"In Germany who were known as ""Dick und Doof""",Laurel and Hardy
93,95,James L Herlihy wrote what novel - Oscar winning film,Midnight Cowboy
94,1,What actor dropped out university to be a dishwasher,Warren Beaty
94,2,What links a Sylvester Stallone character and Panama,"Balboa Panama cash
Rocky name"
94,5,Who was the leader of the wolves in Kipling's Jungle Book,Akala
94,6,Jill Oppenheimer changed her name to become famous as who,"Jill St John – Tiffany
Case in Bond film"
94,10,Cry Freedom was Richard Attenborough's film about who,Steve Biko
94,12,In The African Queen what was the name of the steam launch,The African Queen
94,15,Who did Fess Parker play in on TV 1964,Daniel Boone
94,17,Who was dropped by 20th cent Fox for being too ugly,"Marilyn Munroe by
Darryl Zanuck"
94,27,Caractacus Potts drove what car,Chitty Chitty Bang Bang
94,33,Who failed an audition for Fame because was not pretty enough,Tom Cruise
94,34,What character in the Jungle Books name means frog,Mougli
94,42,What Hollywood star was the inspiration for Bugs Bunny,Clark Gable
94,44,Who developed the method school of acting,Konstanstin Stanislavsky
95,55,In literature who taught at the Marcia Blain school for Girls,Miss Jean Brodie
95,56,What was the full name of the butler in soap - later spin off,Benson Dubois
95,61,Joel Chandler Harris born December 1848 better known as who,Uncle Remus
95,64,In traditional pantomime who is the sweetheart of Harlequin,Columbine
95,66,What actress/singer once worked in a doughnut shop,Madonna
95,69,Richard Roundtree played what detective in three 70s films,John Shaft
95,71,Writer who created Hannah Massay Maggie Rowan Tillie Trotter,Catherine Cookson
95,74,Herbert Charles Angelo Kuchacevich ze Schluderpacheri - who,Herbert Lom
95,76,The French call it La Mort aux Trousses what Hitchcock film is it,North by Northwest
95,79,Lily Cauchoin became famous as who,Claudette Colbert
95,84,Who created The Scarlet Pimpernel,Baroness Orczy
95,85,Who was meant to play Annie Okley but was replaced in 1950,Judie Garland Annie get Your Gun
95,91,Edmund Dante is what eponymous hero,The Count of Monte Christo
95,95,The Sea Cook was the original title of what famous novel,Treasure Island
95,98,The Island of Sheep was the last novel of what Buchan Hero,Richard Hannay
96,100,Who's first film (THX1138) flopped in 1971,George Lucas
96,1,Who wrote the novel Ben Hur,Lew Wallace
96,5,Who directed the film The African Queen,John Huston
96,9,Action Comics 720 after 58 years who returned engage ring Lois Lane to,Superman
96,18,Vladimir Nabokov wrote Lolita in what language,English
96,20,At what farm does Aunt Ada Doom go on about nasty woodshed,Cold Comfort Farm
96,26,Who wrote the novel The African Queen,C S Forester
96,33,Danes Overst Senap Spanish Marques de Marina what in UK,Colonel Mustard Cluedo
96,34,What puppet was based on the creators former wife Sylvia,Lady Penelope
96,38,Who composed and played the score for the film Genevieve,Larry Addler
96,40,Avron Hirsch Goldbogen changed his name to what,Mike Todd Married Liz Taylor
96,46,Susannah Yolanda Fletcher became famous as who,Susannah York
97,53,Name Dennis the Menace dog Hank Ketchum comics 1950s,Ruff
97,67,What French actors catch phrase Come with me to the Casbah,"Charles Boyer – in
Algiers"
97,70,Who first appeared in The Mysterious Affair at Styles,Hercule Poirot
97,77,In Maryland it is illegal to take what to the movies,A Lion
97,88,What US film was based on Thomas Dixons The Clansman,Birth of a Nation
97,93,Family lived small farm Walnut Grove Plumb Creek Minnesota,"Ingles - Little House
on Prairie"
97,94,Laurence Skikne changed his name to what and found fame,Laurence Harvey
97,96,Shakespeare character in The Tempest is the son of Sycorax,Caliban
97,100,Who wrote The Hitchhikers Guide to the Galaxy,Douglas Adams
98,1,In The Caine Mutiny Bogart played Cap Queeg who first choice,Richard Widmark
98,7,Famous 20th century novel is set mainly on fictional Pianosa,Catch 22
98,11,Rex Stout created what corpulent orchid loving private eye,Nero Wolfe
98,15,Stanley Kubricks Full Metal Jacket was filmed in what Location,London's Dockland
98,16,In what fictional vessel are characters Starbuck Stubb Fedallah Pequod in Moby Dick,Pequod
98,23,Link Danny Fisher Charlie Rogers Vince Everett Chad Gates,Elvis Presley character names
98,24,Alice Dormouse Mad Hatter who is missing from the Tea Party,March Hare
98,34,In what HG Wells novel does Dr Griffin sometimes appear,The Invisible Man
98,36,What kind of animal is Beatrix Potters Mrs Tiggy Winkle,Hedgehog
98,38,Odysseus captured by Cyclops Polyphemus what false name,Nobody
98,41,Who got best actor award for the character Charlie Allnut,Bogart - The African Queen 1951
98,50,Funeral March of a Marionette theme tune to what old TV show,Alfred Hitchcock Presents
99,53,Film based PK Dick story We can remember it for you wholesale,Total Recall
